report_id,site_id,sponsor,protocol_number,visit_date,monitor_name,finding_id,finding_text,category,severity,status,classification_method
SVR-2025-0041,SITE-001,Nexagen Therapeutics,NGX-2201-,"April 2, 2025","Jennifer Caldwell,",SVR-2025-0041-F01,"Investigational product storage temperature log shows a 4-hour excursion on 14-Mar-2025 (recorded high: 28.3°C, acceptable range: 2–8°C). No CAPA has been initiated. IP stability must be evaluated by the sponsor.",Investigational Product,Critical,Open,keyword
SVR-2025-0041,SITE-001,Nexagen Therapeutics,NGX-2201-,"April 2, 2025","Jennifer Caldwell,",SVR-2025-0041-F02,The delegation log has not been updated to reflect the addition of a new sub-investigator (Dr. Patricia Nguyen) who has been performing study procedures since 01-Feb-2025. Training records are also absent.,Regulatory / Essential Documents,Major,Open,keyword
SVR-2025-0041,SITE-001,Nexagen Therapeutics,NGX-2201-,"April 2, 2025","Jennifer Caldwell,",SVR-2025-0041-F03,"An adverse event (mild nausea, onset 22-Mar-2025) for subject 003 was not entered into the eCRF within the required 24-hour window. The event was recorded 5 days after the subject reported it to site staff.",Data Entry / eCRF,Minor,Closed,keyword
SVR-2025-0052,SITE-002,Orion BioPharma,OBP-4410-,"April 10, 2025","Marcus Webb,",SVR-2025-0052-F01,Informed consent forms for subjects 004 and 009 were signed after the screening visit procedures had already begun. The ICF must be obtained prior to any study-related procedures per protocol section 6.1.,Informed Consent,Major,Open,keyword
SVR-2025-0052,SITE-002,Orion BioPharma,OBP-4410-,"April 10, 2025","Marcus Webb,",SVR-2025-0052-F02,IRB approval letter for the current protocol amendment (v3.1) was not present in the regulatory binder. The amendment was implemented on 10-Jan-2025; IRB approval must precede implementation.,Regulatory / Essential Documents,Critical,In Progress,keyword
SVR-2025-0052,SITE-002,Orion BioPharma,OBP-4410-,"April 10, 2025","Marcus Webb,",SVR-2025-0052-F03,Financial disclosure forms for two co-investigators are missing from the regulatory binder. Forms must be on file prior to subject enrollment per 21 CFR Part 54 requirements.,Regulatory / Essential Documents,Major,Open,keyword
SVR-2025-0063,SITE-003,Stratum Clinical,STR-0087-,"April 17, 2025","Sofia Reyes,",SVR-2025-0063-F01,Subject 007 missed the Visit 4 window by 9 days (window: ±3 days). This constitutes a protocol deviation. A deviation report was not filed with the IRB as required by the site's SOPs.,Protocol Deviation,Major,In Progress,keyword
SVR-2025-0063,SITE-003,Stratum Clinical,STR-0087-,"April 17, 2025","Sofia Reyes,",SVR-2025-0063-F02,Drug accountability records indicate a discrepancy of 2 units between IP dispensed and IP returned/destroyed for subject 015. IP log must be reconciled and supporting documentation provided.,Investigational Product,Major,Open,keyword
SVR-2025-0063,SITE-003,Stratum Clinical,STR-0087-,"April 17, 2025","Sofia Reyes,",SVR-2025-0063-F03,Source document verification for subject 002 (Visit 2) revealed a transcription error: blood pressure recorded as 128/82 in source notes but entered as 182/82 in the eCRF. The discrepancy has since been corrected.,Data Entry / eCRF,Minor,Closed,keyword
SVR-2025-0063,SITE-003,Stratum Clinical,STR-0087-,"April 17, 2025","Sofia Reyes,",SVR-2025-0063-F04,Freezer temperature log has multiple missing daily entries between 01-Mar-2025 and 15-Mar-2025. Continuous temperature monitoring documentation is required for stored biological specimens.,Investigational Product,Minor,Open,keyword
SVR-2025-0074,SITE-004,Nexagen Therapeutics,NGX-2201-,"April 24, 2025","Derek Fong,",SVR-2025-0074-F01,"eCRF query #TQ-0047 for subject 011 (Visit 3 vital signs) has been outstanding for 22 days without response. Per the data management plan, queries must be resolved within 10 business days.",Data Entry / eCRF,Minor,Open,keyword
SVR-2025-0074,SITE-004,Nexagen Therapeutics,NGX-2201-,"April 24, 2025","Derek Fong,",SVR-2025-0074-F02,Centrifuge calibration certificate expired on 28-Feb-2025. Samples processed after this date may be compromised. A calibration log was not available for review at the time of the monitoring visit.,Facility / Equipment,Major,Open,keyword
SVR-2025-0085,SITE-005,Orion BioPharma,OBP-4410-,"May 1, 2025","Amanda Torres,",SVR-2025-0085-F01,Informed consent forms for subjects 004 and 009 were signed after the screening visit procedures had already begun. The ICF must be obtained prior to any study-related procedures per protocol section 6.1.,Informed Consent,Major,Open,keyword
SVR-2025-0085,SITE-005,Orion BioPharma,OBP-4410-,"May 1, 2025","Amanda Torres,",SVR-2025-0085-F02,"Investigational product storage temperature log shows a 4-hour excursion on 14-Mar-2025 (recorded high: 28.3°C, acceptable range: 2–8°C). No CAPA has been initiated. IP stability must be evaluated by the sponsor.",Investigational Product,Critical,Open,keyword
SVR-2025-0085,SITE-005,Orion BioPharma,OBP-4410-,"May 1, 2025","Amanda Torres,",SVR-2025-0085-F03,IRB approval letter for the current protocol amendment (v3.1) was not present in the regulatory binder. The amendment was implemented on 10-Jan-2025; IRB approval must precede implementation.,Regulatory / Essential Documents,Critical,In Progress,keyword
SVR-2025-0085,SITE-005,Orion BioPharma,OBP-4410-,"May 1, 2025","Amanda Torres,",SVR-2025-0085-F04,"An adverse event (mild nausea, onset 22-Mar-2025) for subject 003 was not entered into the eCRF within the required 24-hour window. The event was recorded 5 days after the subject reported it to site staff.",Data Entry / eCRF,Minor,Closed,keyword
